disease_name,organic,chemical,prevention,symptoms,climate_risk,fertilizer_guidelines,notes
Tomato Bacterial Spot,"• Start with pathogen-free or hot-water–treated seed (50 °C × 25 min).
• Rotate out of Solanaceae for 2–3 years.
• Weekly sprays: Copper hydroxide 0.3% + Neem oil 0.5% or Pseudomonas fluorescens bio-bactericide.
• Avoid overhead irrigation; irrigate early AM at base.","• Copper oxychloride (M1) + Mancozeb (M3) alternating 7–10 days.
• Streptocycline (100 ppm) or Kasugamycin used only where permitted; alternate with copper.","• Sanitize tools and stakes; remove volunteer tomatoes and weeds.
• Avoid dense planting and excess N.
• Use resistant cultivars if available.","Small dark greasy spots on leaves with yellow halo; fruit shows raised scabby lesions.","Favored by **warm (25–32 °C)** humid conditions and splashing rain.","N 100–120 kg/ha (split 3 times), P₂O₅ 60 kg/ha, K₂O 100 kg/ha; maintain Ca and B for fruit firmness.","Avoid mixing copper + antibiotics in tank; rotate chemical classes each crop cycle."
Tomato Early Blight,"• Remove crop debris; rotate 3 years.
• Neem oil 1%, Trichoderma or Bacillus biofungicide every 10 days.
• Use mulch to reduce soil splash.
• Space plants for airflow.","• Mancozeb (M03) or Chlorothalonil (M05) protectant; Azoxystrobin, Propiconazole, Difenoconazole (systemic) in rotation (3/11).","• Avoid excess N; stake plants upright for dry leaves.
• Prune lower leaves touching soil.","Dark concentric rings on lower leaves; yellow halo; fruit neck rot near stem.","Occurs in **warm humid (24–30 °C)** with periodic rain.","N 100–120 kg/ha, P₂O₅ 60, K₂O 120; adequate Ca/K reduces blossom-end rot and disease.","Alternate FRAC 3/11 fungicides; remove infected leaves immediately."
Tomato Late Blight,"• Remove infected plants and mulch heavily.
• Copper hydroxide 0.3% preventive sprays.
• Use Trichoderma bio-drench before transplant; Neem oil 0.5% as weekly foliar.","• Preventive sprays before forecasted rains: Cymoxanil (27) + Mancozeb (M03), Metalaxyl (4), Dimethomorph (40), Oxathiapiprolin (49), Mandipropamid (40); alternate FRAC.","• Avoid overhead irrigation and dense planting.
• Destroy nightshade weeds and cull piles.","Water-soaked gray lesions with white moldy undersides; rapid leaf blight and brown fruit rot.","Thrives in **cool (15–22 °C)** wet weather with >90 % humidity.","N 120 kg/ha (split planting + flowering), K₂O 150 kg/ha for firm fruits.","Rotate FRAC groups strictly; destroy cull piles after harvest."
Tomato Leaf Mold,"• Increase ventilation in greenhouses.
• Neem oil 1%, Baking soda (5 g/L) + soap spray, Trichoderma foliar spray weekly.","• Copper oxychloride (M1) or Chlorothalonil (M05) preventive; Difenoconazole, Azoxystrobin systemic rotation.","• Reduce humidity (<85 %) and maintain air circulation.
• Avoid late evening watering.","Yellow patches upper leaf surface with olive-green velvety mold below.","Occurs in **humid greenhouse >85 % RH** and moderate (20–25 °C).","Balanced NPK (100-60-100 kg/ha) and micronutrient foliar sprays (Zn, B).","Disinfect greenhouse tools and structures post-harvest."
Tomato Mosaic Virus,"• Rogue infected plants immediately.
• Spray Neem oil or milk solution (1:10) on foliage to reduce vector activity.
• Use virus-free seed and Trichoderma soil treatment.
• Intercrop with barrier plants like maize.","• Vector control via Imidacloprid or Thiamethoxam seedling sprays.
• No direct cure; manage aphids and whiteflies that spread virus.","• Avoid tobacco use and hands contaminated with sap.
• Disinfect tools with 1% bleach after each use.","Mosaic mottle (light and dark green patches) on leaves; distorted growth; reduced fruit set; stunted plants.","Favored by **warm (22–28 °C)** and presence of vector insects.","Maintain balanced K and Zn; avoid excess N that encourages soft tissue susceptibility.","Use resistant cultivars (TM-2² gene); rogue infected plants immediately and burn debris."


disease_name,organic,chemical,prevention,symptoms,climate_risk,fertilizer_guidelines,notes
Tomato Septoria Leaf Spot,"• Remove lower leaves touching soil; mulch heavily to prevent splash.
• Spray Neem oil 0.5–1 % or Baking-soda (5 g/L + soap) every 7 days.
• Foliar biofungicides (Bacillus subtilis or Trichoderma based) weekly under humid weather.","• Mancozeb (M03) or Chlorothalonil (M05) protectants.
• Systemics in rotation: Azoxystrobin (FRAC 11), Difenoconazole (FRAC 3).","• Rotate out of Solanaceae for 2–3 years.
• Stake plants for airflow; irrigate early morning.
• Destroy infected debris after harvest.","Small circular gray spots with dark borders; numerous tiny black dots (pycnidia) visible under lens.","Favored by **humid (22–28 °C)** with frequent rains or overhead watering.","N 100 kg/ha, P₂O₅ 60, K₂O 120; foliar Ca and Zn improve tolerance.","Scout from lower leaves upward every 5–7 days; rotate fungicides each crop."
Tomato Spider Mites (Two-Spotted Spider Mite),"• Encourage predators (*Phytoseiulus persimilis*, lady beetles).
• Spray Neem oil 1 % or horticultural oil 1.5 % weekly.
• Wash undersides of leaves with water jet to knock off mites.","• Abamectin (IRAC 6) or Spiromesifen (23) for mites at economic threshold; rotate IRAC groups.
• Avoid broad-spectrum insecticides that kill beneficials.","• Maintain adequate irrigation; avoid water stress.
• Control dust on field roads – mites thrive in dusty conditions.
• Maintain weed-free beds.","Fine silky webbing under leaves; tiny reddish mites; bronzed or stippling leaf surface; leaves curl and dry.","Hot dry conditions (>30 °C, low RH) accelerate multiplication.","Balanced NPK; avoid over-N that produces tender foliage attractive to mites.","Monitor weekly with 10× lens; apply selective acaricides only when threshold exceeds 10 mites/leaf."
Tomato Target Spot,"• Remove infected leaves and maintain open canopy.
• Spray Neem oil 0.5 % or Trichoderma/Bacillus biofungicide every 7–10 days.
• Improve airflow and avoid leaf wetness.","• Preventive sprays: Chlorothalonil (M05) or Mancozeb (M03);
• Curative: Azoxystrobin or Difenoconazole (rotate FRAC 11/3).","• Avoid overhead irrigation and dense planting.
• Rotate with non-host crops.","Round brown spots with concentric rings and yellow halos; begin on lower leaves; may infect fruit under calyx.","Warm humid (25–30 °C) with frequent rain favors spread.","N 100–120 kg/ha, P₂O₅ 60, K₂O 120; K and Ca help reduce lesions on fruit.","Combine with early blight programs for integrated control."
Tomato Yellow Leaf Curl Virus,"• Control whiteflies (> 95 % of spread): Neem oil 1 %, yellow sticky traps, marigold barrier crops.
• Remove infected plants immediately.
• Spray seaweed extract + micronutrient tonics to boost plant tolerance.","• Manage whiteflies with Imidacloprid (4A), Thiamethoxam (4A), Pymetrozine (9B) – rotate IRAC groups every 10 days.
• No direct virus cure.","• Avoid planting near cotton or okra (whitefly hosts).
• Use resistant varieties (TYLCV-tolerant hybrids).
• Remove weeds that harbor whiteflies.","Upward curling and yellowing of young leaves; stunted plants; reduced fruit set.","High risk in **hot (28–35 °C)** dry weather with whitefly population.","Maintain balanced K and Zn; avoid excess N that favors soft growth.","Use mulches and row nets to reduce vector entry; replant only after field sanitation."
Tomato Healthy,"• Maintain mulch and weekly Neem oil preventive spray.
• Drip irrigation; avoid leaf wetness.
• Add Trichoderma and compost to soil.","—","• Rotate crops every 2–3 years; keep weed-free.
• Stake plants for airflow.","Uniform green leaves, no spots or curling; healthy fruit set.","Normal conditions; monitor after heavy rain or dry hot spells.","N 100–120 kg/ha split (3 times), P₂O₅ 60, K₂O 120; Ca and B foliar spray for fruit quality.","Maintain IPM scouting and healthy photo references each season."
